,Code,Name,Gender,Age,NOC,Country,Discipline,Sport,Event,Rank,Medal,year
2648,1328981,COSTA Guilherme,Male,22,BRA,Brazil,SWM,Swimming,Men's 800m Freestyle,8,NA,2020
2649,1328981,COSTA Guilherme,Male,22,BRA,Brazil,SWM,Swimming,Men's 1500m Freestyle,NA,NA,2020
2650,1450914,COSTA Jose,Male,37,POR,Portugal,SAL,Sailing,Men's Skiff - 49er Team,7,NA,2020
2651,1450915,COSTA Pedro,Male,25,POR,Portugal,SAL,Sailing,Men's Two Person Dinghy - 470 Team,15,NA,2020
2652,1297372,COSTEA Bianca-Andreea,Female,16,ROU,Romania,SWM,Swimming,Women's 50m Freestyle,NA,NA,2020
2653,1297372,COSTEA Bianca-Andreea,Female,16,ROU,Romania,SWM,Swimming,Women's 100m Freestyle,NA,NA,2020
2654,1444580,COSTELLO Amy Ewart,Female,23,GBR,Great Britain,HOC,Hockey,Women Team,3,Bronze,2020
2655,1450717,COTE Andree-Anne,Female,23,CAN,Canada,SWA,Artistic Swimming,Team,6,NA,2020
2656,1393392,COUCKUYT Paulien,Female,24,BEL,Belgium,ATH,Athletics,Women's 400m Hurdles,NA,NA,2020
2657,1393392,COUCKUYT Paulien,Female,24,BEL,Belgium,ATH,Athletics,Women's 4 x 400m Relay Team,7,NA,2020
2658,1484004,COUGHLAN Aoife,Female,25,AUS,Australia,JUD,Judo,Women -70 kg,9,NA,2020
2659,1469074,COURNOYER Rene,Male,24,CAN,Canada,GAR,Artistic Gymnastics,Men's All-Around,NA,NA,2020
2660,1469074,COURNOYER Rene,Male,24,CAN,Canada,GAR,Artistic Gymnastics,Men's Floor Exercise,NA,NA,2020
2661,1469074,COURNOYER Rene,Male,24,CAN,Canada,GAR,Artistic Gymnastics,Men's Pommel Horse,NA,NA,2020
2662,1469074,COURNOYER Rene,Male,24,CAN,Canada,GAR,Artistic Gymnastics,Men's Rings,NA,NA,2020
2663,1469074,COURNOYER Rene,Male,24,CAN,Canada,GAR,Artistic Gymnastics,Men's Vault,NA,NA,2020
2664,1469074,COURNOYER Rene,Male,24,CAN,Canada,GAR,Artistic Gymnastics,Men's Parallel Bars,NA,NA,2020
2665,1469074,COURNOYER Rene,Male,24,CAN,Canada,GAR,Artistic Gymnastics,Men's Horizontal Bar,NA,NA,2020
2666,1342569,COURTNEY Kate,Female,25,USA,United States,MTB,Cycling Mountain Bike,Women's Cross-country,15,NA,2020
